3561	Carmen
3561	Eva-Lena
3540	Solvig
3524	Barbara
3487	Vendela
3485	Åse
3462	Ethel
3441	Thi
3347	Denise
3337	Majvor
3333	Lydia
3312	Nancy
3306	Pauline
3292	Fatima
3244	Aurora
3230	Freja
3203	Lise-Lotte
3195	Ann-Charlott
3186	Miranda
3178	Ottilia
3177	Britt-Mari
3158	Lova
3103	Leila
3093	Viveka
3088	Minna
3088	Tuulikki
3085	Marja
3081	Heidi
3080	Else
3074	Frideborg
3062	Beata
3062	Charlott
3034	Göta
2996	Erna
2992	Carolin
2974	Miriam
2942	Mirjam
2923	Natalia
2921	Emilie
2912	Suzanne
2907	Ahmed
2890	Janet
2890	Kristine
2889	Anna-Maria
2875	Katharina
2853	Tora
2847	Hildur
2844	Mohamed
2837	Berta
2835	Augusta
2791	Evelyn
2786	Simone
2782	Tova
2768	Rosita
2765	Cathrine
2762	Vivianne
2749	Maya
2748	Daniela
2740	Engla
2725	Katja
2722	Sally
2713	Margret
2704	Amalia
2680	Sinikka
2680	Stephanie
2679	Vanessa
2678	Anna-Greta
2670	Cassandra
2658	Ana
2656	Daniella
2654	Nadja
2652	Gisela
2640	Gurli
2638	Antonia
2634	Margaret
2614	Maarit
2614	Vivi
2613	Lea
2611	Susan
2605	Leena
2582	Ritva
2578	Mira
2561	Gull-Britt
2547	Lise-Lott
2522	Tanja
2520	Kyllikki
2514	Marit
2502	Gunbritt
2501	Boel
2501	Nanna
2494	Gunn
2467	Ann-Margret
2453	Emily
2432	Amelie
2432	Claudia
2425	Theres
2402	Melissa
2399	Mohammed
2396	Ilona
2374	Ann-Katrin
2365	Henny
2365	Vivan
2356	Angelina
2337	Orvokki
2333	Li
2319	Vivi-Ann
2303	Eugenia
2296	Eva-Britt
2289	Kristiina
2284	Gullan
2267	Renée
2250	Märtha
2244	Angelika
2242	Ingvor
2238	Hulda
2232	Tuula
2208	Jill
2202	Eila
2181	Carita
2163	Aino
2138	Alina
2134	Lillian
2122	Martha
2121	Betty
2105	Florence
2098	Ros-Marie
2094	Maryam
2093	Inkeri
2091	Margita
2088	Nadia
2082	Esther
2075	Judith
2065	Amina
2063	Alfhild
2063	Anny
2062	Emelia
2053	Mariam
2044	Judit
2029	Clary
2029	Marielle
2027	Elaine
2023	Cajsa
2023	Elenor
2016	Bianca
2015	Petronella
2000	Rose
1976	Britt-Inger
1957	Dorotea
1955	Zahra
1949	Elisa
1948	Valentina
1945	Isa
1944	Hedda
1942	Jasmin
1915	Synnöve
1914	Marion
1911	Mildred
1911	Ursula
1906	Inga-Lisa
1899	Viveca
1896	Meja
1880	Ina
1860	Amelia
1859	Nanny
1854	Irmeli
1853	Majlis
1849	Wilhelmina
1849	Kersti
1825	Jessika
1817	Pirjo
1813	Sonia
1807	Riitta
1804	Disa
1803	Eleonore
1803	Katarzyna
1802	Tellervo
1792	Britt-Louise
1789	Melina
1783	Signhild
1782	Ingbritt
1780	Janina
1772	Samira
1769	Eva-Lotta
1756	Jacqueline
1743	Inga-Maj
1738	Malgorzata
1727	Eira
1721	Catrine
1718	Catherine
1718	Sigbritt
1716	Rakel
1714	Karolin
1711	Torborg
1705	Ing-Mari
1693	Anna-Carin
1689	Anna-Stina
1683	Melinda
1682	Madelen
1675	Marija
1674	Seija
1666	Karoline
1665	Majbritt
1648	Larsdotter
1647	Ines
1638	Eva-Marie
1632	Irina
1621	Naemi
1616	Hassan
1615	Elzbieta
1610	Lisette
1602	Vivian
1592	Sari
1587	Tea
1581	Aleksandra
1577	Mariette
1566	Mari-Ann
1556	Anne-Charlotte
1549	Tarja
1543	Virginia
1542	Agnieszka
1542	Elma
1540	Mina
1536	Anni
1518	Mirja
1517	Izabella
1515	Raija
1511	Madelaine
1505	Pamela
1504	Irja
1502	Aida
1496	Micaela
1493	Ramona
1490	Lill
1480	Görel
1477	Adele
1476	Pirkko
1473	Adina
1456	Siw
1454	Chatarina
1452	Gabriela
1449	Vega
1439	Maija
1422	Theresa
1422	Edla
1421	Runa
1398	Krystyna
1397	Jaana
1388	Albertina
1388	Viviann
1386	Sabine
1381	Sirpa
1378	Hussein
1367	Leia
1366	Zandra
1362	Henriette
1361	Silvia
1360	Ninni
1360	Sirkka
1353	Eeva
1344	Cathrin
1342	Terttu
1340	Elvi
1336	Adéle
1336	Thyra
1332	Jenni
1331	Adela
1331	Lola
1326	Sisko
1325	Smilla
1313	Livia
1309	Mercedes
1305	Emmelie
1305	Gullvi
1305	Irena
1298	Desiré
1287	Liza
1282	Gunni
1278	Emmie
1273	Berith
1258	Eija
1256	Margareth
1249	Amy
1248	Gabrielle
1234	Ibrahim
1226	Vivi-Anne
1225	Malva
1222	Agda
1220	Päivi
1213	Yasmin
1210	Kirsti
1209	Kate
1201	Malena
1199	Raili
1198	Fatma
1192	Karla
1181	Magda
1181	Naima
1175	Jasmina
1174	Irené
1171	Wiktoria
1169	Renate
1168	Alfrida
1167	Ejvor
1161	Alida
1157	Ann-Catrin
1154	Ragna
1153	Carla
1151	Abdi
1151	Sibylla
1148	Solbritt
1148	Andréa
1148	Julie
1147	Margreth
1143	Gina
1142	Tatiana
1141	Juliana
1140	Karen
1136	Embla
1130	Hanne
1128	Märit
1126	Estelle
1125	Lisen
1125	Liz
1124	Margrethe
1124	Anastasia
1124	Kaisa
1110	Agnetha
1110	Arja
1109	Benita
1109	Else-Marie
1106	Nada
1098	Nike
1097	Maritha
1097	Adriana
1094	Daisy
1093	Danuta
1093	Inga-Lena
1093	Mai
1092	Jolanta
1087	Joline
1082	Jelena
1081	Hilkka
1075	Emina
1073	Iman
1070	Kirsten
1067	Zofia
1065	Katrine
1065	Lis
1063	Anna Maria
1062	Johanne
1061	Gertie
1060	Alejandra
1059	Milla
1058	Lily
1057	Gull
1055	Svetlana
1054	Tamara
1053	Mona-Lisa
1042	Aila
1040	Merja
1037	Dina
1033	Fatemeh
1030	Gullbritt
1026	Terése
1025	Mette
1023	Ros-Mari
1015	Ally
1010	Thérése
1007	Lee
1004	Noomi
1003	Katariina
1002	Mari-Anne
1002	Theresé
1001	Anna Karin
999	Ada
992	Celine
992	Lizzie
991	Tiina
986	Esmeralda
984	Amal
984	Amira
984	Leah
982	Tekla
982	Katrina
981	Emy
973	Herta
971	Nicolina
970	Satu
965	Dorothea
964	Ilse
964	Wiola
963	Lizette
962	Titti
960	Margarita
952	Yasmine
952	Estrid
952	Jadwiga
951	Ellie
950	Vilda
947	Zara
946	Annicka
945	Marketta
938	Lise
936	Melanie
936	Axelina
935	Anne-Christine
934	Bella
934	Louisa
932	Belinda
929	Marian
927	Lotten
924	Justina
922	Persdotter
921	Brigitte
920	Noor
919	Kari
915	Sanne
912	Izabelle
906	Thérese
898	Malou
895	Grace
894	Jana
894	Line
892	Lara
892	Margarete
892	Sol
891	Grazyna
889	Aili
889	Zainab
887	Magnhild
886	Ulla-Britta
883	Gloria
872	Constance
872	Mohammad
871	Marguerite
870	Maritta
869	Marica
869	Halina
862	Anne-Lie
858	Eriksdotter
857	Gärd
854	Helmi
853	Janette
849	Elida
849	Leona
842	Celina
841	Dorota
839	Lo
839	Nadine
835	Irén
831	Renata
826	Fia
825	Daga
824	Louice
824	Mari-Louise
821	Maire
814	Lidia
814	Desideria
812	Wanda
809	Karola
806	Yvette
801	Paola
796	Margreta
796	Tatjana
791	Samantha
791	Andersdotter
791	Ann-Cathrine
789	Lejla
789	Ulfsdotter
788	Hellevi
787	Eva-Karin
783	Tara
780	Mathilde
780	Ellenor
776	Mait
774	Adelina
773	Milena
773	Sabrina
772	Leyla
768	Naomi
768	Omar
767	Ketty
764	Hana
764	Olofsdotter
764	Vesna
758	Kirsi
756	Iwona
755	Anne-Maj
755	Joy
755	Luisa
755	Mirjami
753	Natasha
751	Lovis
749	Désirée
748	Hanan
748	Lilja
747	Mirjana
746	Elli
744	Birthe
742	Norma
739	Gunnarsdotter
737	Stigsdotter
733	Silva
730	Tess
730	Gunn-Britt
730	June
727	Alicja
725	Zeinab
724	Lillie
722	Danielle
721	Nikita
719	Git
718	Teres
717	Marie-Anne
717	Rana
716	Desireé
713	Bente
713	Christa
713	Violet
712	Solweig
712	Kicki
710	Wictoria
709	Ingmarie
708	Lynn
707	Lykke
707	Sylvi
707	Wilda
707	Aisha
707	Juni
706	Lana
706	Leonora
705	Majvi
705	Rosanna
704	Elsi
703	Else-Britt
702	Dora
702	Marianna
700	Anna Lisa
698	Syster
696	Suzana
695	Marja-Leena
695	Farah
694	Ellinore
693	Gun-Marie
693	Rosalie
688	Sahar
688	Kamilla
683	Fadumo
682	Gustava
681	Bozena
680	Azra
679	Eleni
677	Ahmad
677	Birgitte
677	Katalin
676	Eveline
676	Iren
676	Madicken
676	Rosmarie
675	Shirin
672	Björnsdotter
671	Anna-Britta
671	Cindy
671	Nikolina
667	Peggy
666	Dolores
665	Lenita
663	Marléne
662	Britt Marie
661	Aune
661	Kaija
660	Emeli
660	Randi
659	Britt Inger
657	Simona
655	Emine
653	Hermine
653	Katri
652	Ingmari
651	Wera
649	Sol-Britt
649	Alvina
649	Anna-Britt
648	Philippa
648	Salma
645	Stefanie
645	Hilde
644	Sylwia
642	Ann-Margreth
639	Ebon
639	Madeléne
639	Rosemarie
638	Aulikki
637	Anett
636	Bettina
635	Anne-Sofie
634	Evelin
632	Gunda
632	Marcela
631	Denice
630	Aline
626	Vibeke
624	Sanja
624	Tuija
624	Abdullahi
622	Eva-Maria
621	Antoinette
621	Erene
620	Ayse
620	Beatriz
618	Grethe
618	Jannike
618	Jeannette
618	Malvina
617	Sahra
617	Hasan
614	Dorothy
614	Sabah
610	Reidun
610	Gordana
610	Ivana
609	Ann-Helen
608	Anna-Liisa
607	Inge
607	Weronica
606	Nikki
604	Monia
602	Lajla
599	Flora
599	Isolde
598	Björg
597	Beate
596	Kerttu
595	Dalia
595	Said
594	Ngoc
593	Kelly
591	Heli
591	Margarethe
587	Ofelia
587	Ann-Catrine
586	Mahmoud
586	Nea
585	Izabela
584	Aya
584	Muna
582	Nilsdotter
581	Mika
581	René
581	Anne-Louise
580	Debora
579	Gitte
579	Helny
579	Manuela
578	Rachel
578	Ulla-Karin
576	Dana
574	Amela
574	Taina
572	Suzan
571	Kathrin
570	Caisa
567	Luise
565	Liliana
565	Blenda
564	Abbas
563	Edina
562	Sanela
560	Kathrine
559	Lorena
558	Lilli
558	Mary-Ann
558	Tania
555	Thelma
554	Urszula
552	Eva-Lisa
551	Lene
551	Valeria
550	Matilde
549	Deborah
549	Ingemo
548	Ann-Cathrin
547	Melisa
546	Hansdotter
542	Unni
541	Heléna
541	Jaqueline
540	Connie
540	Jean
540	Lia
539	Meryem
539	Alli
539	Beda
537	Gill
537	Halima
536	Gladys
534	Violeta
533	Anna Lena
531	Mi
530	Jannica
529	Helle
529	Natali
527	Bengtsdotter
527	Claire
526	Maggie
525	Anitha
524	Kjerstin
522	Emmi
522	Ljiljana
521	Toini
520	Therés
520	Agata
520	Kitty
518	Lili
517	Nasrin
517	Teodora
517	Jenna
517	Käthe
515	Britten
515	Thilda
513	Chris
513	Khadija
512	Bent
512	Joan
512	Saida
511	Anne-Mari
511	Carol
510	Elfrida
510	Emely
510	Ewelina
510	Hilja
509	Abdullah
508	Asha
508	Rania
508	Rosie
506	Rima
505	Luna
505	Hiba
504	Bibbi
504	Ia
503	Alba
501	Sif
500	Els-Marie
499	Luz
498	Milica
496	Vilja
495	Alisa
493	Towe
492	Mabel
492	Selina
492	Kimberly
491	Elfriede
491	Osman
490	Marja-Liisa
490	Marjut
490	Wanja
490	Georgina
490	Huda
489	Gerty
487	Irmgard
487	Nour
486	Love
486	Thuy
485	Helfrid
484	Chatrine
484	Snezana
484	Wenche
482	Layla
482	Fiona
482	Helvi
481	Gry
481	Rose-Mari
479	Grete
478	Biljana
478	Hatice
477	Idun
477	Katriina
477	Silvana
475	Anne-Li
474	Janna
472	Airi
472	Ninnie
472	Theodora
471	Gunlög
471	Inga-Britta
470	Anna Greta
470	Mohamad
469	Eliza
467	Ann-Kristine
467	Mollie
465	Tone
464	Saara
462	Allis
462	Angelique
462	Ismail
461	Edna
461	Enya
461	Tanya
460	Marjaana
460	Slavica
460	Jansdotter
459	Susana
459	Thu
459	Vuokko
458	Thilde
458	Etel
458	Indra
456	Marie Louise
456	Ulla Britt
455	Annett
453	Annita
453	Borghild
452	Maha
452	Nur
452	Sandy
452	Ängla
451	Linda-Marie
451	Rosmari
450	Lin
450	Dragica
450	Jamila
449	Héléne
448	Medina
448	Pilar
447	Milly
446	Marjo
446	Siv-Britt
446	Katherine
444	Nilla
443	Helené
442	Esteri
442	Francisca
442	Helin
442	Vicktoria
442	Zoe
441	Galina
441	Gördis
441	Thanh
439	Monique
439	Zeynep
439	Alexia
438	Dragana
437	Verna
436	Turid
435	Aase
434	Emmeli
434	Maine
434	Tintin
433	Juliette
430	Bertha
429	Saba
427	Bonnie
426	Eleanor
425	Else-Maj
425	Senada
425	Vanda
423	Fredrica
421	Alaa
421	Danijela
421	Ewy
421	Mervi
419	Marwa
418	Maryan
418	Desiree
418	Ying
417	Zahraa
417	Kornelia
416	Francesca
416	Ingar
415	Ann-Cristin
414	Göransdotter
414	Helinä
414	Iza
413	Tua
412	Signild
411	Rosario
409	Lennartsdotter
408	Marlen
408	Yasemin
407	Aneta
406	Gunny
406	Reneé
406	Roxana
404	Wendela
404	Elinore
403	Ditte
403	Izabell
402	Ayan
402	M
401	Lil
401	Lucy
401	Tiffany
401	Weronika
401	Gabriele
398	Gully
396	Fernanda
396	Jeanne
396	Sig-Britt
395	Iva
394	Ajla
394	Eda
394	Ekaterina
394	Jessie
394	Lone
